TF	Gene	Interaction
ULAR	b4194	-1
ULAR	b4197	-1
ULAR	b4192	-1
ULAR	b4193	-1
ULAR	b4195	-1
ULAR	b4198	-1
ULAR	b4196	-1
TRPR	b1265	-1
TRPR	b1261	-1
TRPR	b1264	-1
TRPR	b1263	-1
TRPR	b1260	-1
TRPR	b0390	-1
TRPR	b0388	-1
TRPR	b1262	-1
TRPR	b0389	-1
TRPR	b1704	-1
TRPR	b3161	-1
TRPR	b4393	-1
H-NS	b2677	-1
H-NS	b1257	-1
H-NS	b1258	-1
H-NS	b3721	-1
H-NS	b2679	-1
H-NS	b3723	-1
H-NS	b0344	-1
H-NS	b3324	-1
H-NS	b3509	-1
H-NS	b3511	-1
H-NS	b2678	-1
H-NS	b0758	-1
H-NS	b3325	-1
H-NS	b3365	-1
H-NS	b3331	-1
H-NS	b3366	-1
H-NS	b3334	-1
H-NS	b0342	-1
H-NS	b0343	-1
H-NS	b3510	-1
H-NS	b0733	-1
H-NS	b3333	-1
H-NS	b3367	-1
H-NS	b0734	-1
H-NS	b0564	-1
H-NS	b0759	-1
H-NS	b4313	-1
H-NS	b2669	-1
H-NS	b3327	-1
H-NS	b0757	-1
H-NS	b3323	-1
H-NS	b3332	-1
H-NS	b4312	-1
H-NS	b1259	-1
H-NS	b0756	-1
H-NS	b3328	-1
H-NS	b3722	-1
H-NS	b1967	-1
H-NS	b3335	-1
H-NS	b3329	-1
H-NS	b3330	-1
H-NS	b3326	-1
H-NS	b3338	-1
H-NS	b3322	-1
H-NS	b3368	-1
H-NS	b1237	-1
H-NS	b3969	-1
H-NS	b3971	-1
PHOB	b1850	-1
LACI	b0344	-1
LACI	b0342	-1
LACI	b0343	-1
NAC	b1988	-1
FADR	b3845	-1
FADR	b3846	-1
FADR	b2344	-1
FADR	b1805	-1
FADR	b2341	-1
FADR	b3495	-1
FADR	b2342	-1
FADR	b0221	-1
ARGR	b3958	-1
ARGR	b3959	-1
ARGR	b3172	-1
ARGR	b4254	-1
ARGR	b0273	-1
ARGR	b3359	-1
ARGR	b3960	-1
ARGR	b2818	-1
ARGR	b3957	-1
ARGR	b0033	-1
ARGR	b3167	-1
ARGR	b3168	-1
ARGR	b3237	-1
ARGR	b0032	-1
ARGR	b3166	-1
ARGR	b3169	-1
ARGR	b3164	-1
ARGR	b3165	-1
ARGR	b2309	-1
ARGR	b3214	-1
ARGR	b3213	-1
ARGR	b2307	-1
ARGR	b2308	-1
ARGR	b3170	-1
ARGR	b3212	-1
ARGR	b3171	-1
ARGR	b2306	-1
NANR	b3225	-1
NANR	b3221	-1
NANR	b3224	-1
NANR	b3222	-1
NANR	b3223	-1
FIS	b0440	-1
FIS	b2231	-1
FIS	b4068	-1
FIS	b3357	-1
FIS	b3260	-1
FIS	b3261	-1
FIS	b4071	-1
FIS	b1739	-1
FIS	b4067	-1
FIS	b3367	-1
FIS	b3365	-1
FIS	b3723	-1
FIS	b3721	-1
FIS	b3366	-1
FIS	b3722	-1
FIS	b4069	-1
FIS	b4072	-1
FIS	b3588	-1
FIS	b4070	-1
FIS	b3699	-1
FIS	b4073	-1
FIS	b4075	-1
FIS	b4074	-1
FIS	b3368	-1
FIS	b4076	-1
NORR	b2709	-1
DEOR	b4383	-1
DEOR	b4381	-1
DEOR	b4382	-1
DEOR	b4384	-1
DEOR	b0411	-1
FUR	b4293	-1
FUR	b4290	-1
FUR	b2155	-1
FUR	b4292	-1
FUR	b1252	-1
FUR	b1683	-1
FUR	b3908	-1
FUR	b4287	-1
FUR	b1680	-1
FUR	b1679	-1
FUR	b4288	-1
FUR	b4289	-1
FUR	b1681	-1
FUR	b1682	-1
FUR	b1684	-1
FUR	b4291	-1
FUR	b0590	-1
FUR	b0588	-1
FUR	b0589	-1
FUR	b2106	-1
FUR	b0683	-1
HIPB	b1508	-1
HIPB	b1507	-1
IHF	b2215	-1
IHF	b3908	-1
IHF	b0895	-1
IHF	b0894	-1
IHF	b2240	-1
IHF	b2239	-1
IHF	b0896	-1
IHF	b4068	-1
IHF	b3365	-1
IHF	b3366	-1
IHF	b4069	-1
IHF	b2278	-1
IHF	b2279	-1
IHF	b2277	-1
IHF	b2282	-1
IHF	b2281	-1
IHF	b2280	-1
IHF	b2283	-1
IHF	b2276	-1
IHF	b4195	-1
IHF	b3367	-1
IHF	b4194	-1
IHF	b2286	-1
IHF	b1109	-1
IHF	b2285	-1
IHF	b4196	-1
IHF	b2288	-1
IHF	b2287	-1
IHF	b2284	-1
IHF	b4192	-1
IHF	b4197	-1
IHF	b4198	-1
IHF	b4067	-1
IHF	b0553	-1
IHF	b3574	-1
IHF	b4376	-1
IHF	b4193	-1
IHF	b0125	-1
IHF	b3405	-1
IHF	b1712	-1
IHF	b3404	-1
IHF	b3368	-1
IHF	b0912	-1
SOXS	b4062	-1
OXYR	b2000	-1
OXYR	b3961	-1
METR	b3828	-1
PURR	b2499	-1
PURR	b2312	-1
PURR	b2313	-1
PURR	b4006	-1
PURR	b0032	-1
PURR	b1062	-1
PURR	b2557	-1
PURR	b2500	-1
PURR	b0945	-1
PURR	b0033	-1
PURR	b2551	-1
PURR	b2476	-1
PURR	b0522	-1
PURR	b0523	-1
PURR	b2311	-1
PURR	b4177	-1
PURR	b2507	-1
PURR	b4005	-1
PURR	b2508	-1
PURR	b2553	-1
PURR	b1658	-1
PURR	b1131	-1
PURR	b1132	-1
GLPR	b3927	-1
GLPR	b3426	-1
GLPR	b2241	-1
GLPR	b2243	-1
GLPR	b2239	-1
GLPR	b2242	-1
GLPR	b3926	-1
GLPR	b2240	-1
