TF	Gene	Interaction
CSGD	b1043	1
CSGD	b1042	1
CSGD	b1041	1
CSGD	b0385	1
CSGD	b1566	1
CSGD	b1943	1
CSGD	b1937	1
CSGD	b1938	1
ULAR	b4194	-1
ULAR	b4197	-1
ULAR	b4192	-1
ULAR	b4193	-1
ULAR	b4195	-1
ULAR	b4198	-1
ULAR	b4196	-1
ULAR	b4084	-1
ULAR	b4047	-1
ULAR	b3120	-1
ULAR	b4085	-1
ULAR	b4311	-1
ULAR	b3127	-1
ULAR	b4082	-1
TRPR	b1265	-1
TRPR	b1261	-1
TRPR	b1264	-1
TRPR	b1263	-1
TRPR	b1260	-1
TRPR	b0390	-1
TRPR	b0388	-1
TRPR	b1262	-1
TRPR	b0389	-1
TRPR	b1704	-1
TRPR	b3161	-1
TRPR	b4393	-1
TRPR	b1268	-1
TRPR	b1267	-1
TRPR	b1266	-1
TRPR	b2601	-1
TRPR	b2600	-1
TRPR	b3455	-1
TRPR	b1563	-1
TRPR	b2913	-1
TRPR	b3460	-1
TRPR	b1040	-1
TRPR	b3123	-1
TRPR	b1957	-1
H-NS	b2677	-1
H-NS	b1257	-1
H-NS	b1258	-1
H-NS	b3721	-1
H-NS	b2679	-1
H-NS	b3723	-1
H-NS	b0344	-1
H-NS	b3324	-1
H-NS	b3509	-1
H-NS	b3511	-1
H-NS	b2678	-1
H-NS	b4316	1
H-NS	b0758	-1
H-NS	b4318	-1
H-NS	b3325	-1
H-NS	b3365	-1
H-NS	b3331	-1
H-NS	b3366	-1
H-NS	b3334	-1
H-NS	b0342	-1
H-NS	b0343	-1
H-NS	b3510	-1
H-NS	b4320	-1
H-NS	b1182	-1
H-NS	b0733	-1
H-NS	b4315	1
H-NS	b4319	-1
H-NS	b3333	-1
H-NS	b3367	-1
H-NS	b4314	1
H-NS	b0734	-1
H-NS	b0564	-1
H-NS	b0759	-1
H-NS	b4313	-1
H-NS	b2669	-1
H-NS	b3327	-1
H-NS	b0757	-1
H-NS	b1892	1
H-NS	b3323	-1
H-NS	b3332	-1
H-NS	b4312	-1
H-NS	b1259	-1
H-NS	b0756	-1
H-NS	b3328	-1
H-NS	b3722	-1
H-NS	b4317	-1
H-NS	b1967	-1
H-NS	b3335	-1
H-NS	b3329	-1
H-NS	b3330	-1
H-NS	b1891	1
H-NS	b3326	-1
H-NS	b3338	-1
H-NS	b3322	-1
H-NS	b3368	-1
H-NS	b1237	-1
H-NS	b3969	-1
H-NS	b3971	-1
H-NS	b1951	-1
H-NS	b0706	-1
H-NS	b0705	-1
H-NS	b3563	-1
H-NS	b3506	-1
H-NS	b3659	-1
H-NS	b4280	-1
H-NS	b4215	-1
H-NS	b3587	-1
H-NS	b3119	-1
H-NS	b0556	-1
H-NS	b4365	-1
H-NS	b3484	-1
H-NS	b3491	-1
H-NS	b3566	-1
H-NS	b4071	-1
H-NS	b2208	-1
H-NS	b3214	-1
H-NS	b4017	-1
H-NS	b3215	-1
H-NS	b0306	-1
H-NS	b2579	-1
H-NS	b2856	-1
H-NS	b4366	-1
H-NS	b0372	-1
H-NS	b3517	-1
H-NS	b3562	-1
H-NS	b3896	-1
H-NS	b4380	-1
H-NS	b3442	-1
H-NS	b4047	-1
H-NS	b3515	-1
H-NS	b3047	-1
H-NS	b3989	-1
H-NS	b3516	-1
H-NS	b4128	-1
H-NS	b4299	-1
H-NS	b4133	-1
H-NS	b3765	-1
H-NS	b3504	-1
H-NS	b3369	-1
H-NS	b3875	-1
H-NS	b3512	-1
H-NS	b4325	-1
H-NS	b3060	-1
H-NS	b2860	-1
H-NS	b3818	-1
H-NS	b3861	-1
H-NS	b3364	-1
H-NS	b1493	-1
H-NS	b3514	-1
H-NS	b3720	-1
H-NS	b4066	-1
H-NS	b3513	-1
H-NS	b1546	-1
H-NS	b3518	-1
H-NS	b3577	-1
H-NS	b3476	-1
ROB	b1531	1
ROB	b1611	1
ROB	b2237	1
ROB	b1532	1
ROB	b1530	1
ROB	b1852	1
ROB	b0462	1
ROB	b0463	1
ROB	b1452	1
ROB	b1332	1
ROB	b3908	1
ROB	b1451	1
ROB	b3005	1
ROB	b4291	1
ROB	b0429	1
ROB	b0428	1
PHOB	b3728	1
PHOB	b3451	1
PHOB	b1020	1
PHOB	b3453	1
PHOB	b0384	1
PHOB	b3727	1
PHOB	b0383	1
PHOB	b1597	1
PHOB	b3452	1
PHOB	b3725	1
PHOB	b3724	1
PHOB	b0399	1
PHOB	b3726	1
PHOB	b3449	1
PHOB	b0400	1
PHOB	b3450	1
PHOB	b0241	1
PHOB	b1850	-1
PHOB	b4030	1
