UID	5m	10m	15m	20m	30m	40m	60m	80m
YAL001C	1.53	-0.06	0.58	0.52	0.42	0.16	0.79	
YAL002W	-0.01	-0.3	0.23	0.01	-0.15	0.45	-0.04	0.14
YAL003W	0.15	-0.07	-0.25	-0.3	-1.12	-0.67	-0.15	-0.43
YAL004W	0.24	0.76	0.2	0.34	0.11	0.07	0.01	0.36
YAL005C	2.85	3.34						
YAL007C	-0.22	-0.12	-0.29	-0.51	-0.81	-0.47	0.28	-0.1
YAL008W	0.19	0.25	0.69	0.34	0.65	0.48		
YAL009W	0.23	0.05	0.18	-0.15	-0.06	-0.19	-0.2	
YAL010C	0.03	-0.23	0.33		0.23	-0.2		0.29
YAL011W	0.01	-0.12	0	-0.22		-0.34	0.45	-0.1
YAL012W	0.21	0.03	0.18	-0.27	-0.32	0.62	0.46	-0.12
YAL013W	0.3	0.29	0.5	0.29		-0.01	0.21	0.07
YAL014C	-0.03	-0.07	0.28	0.32	-0.27	-0.36	0.11	0.04
YAL015C	-0.25	0.58	0.77	0.28	0.32	0.65	0.77	0.46
YAL016W	0.11	0.04	0.75	0.82	0.21	-0.2	0.54	0.33
YAL017W	0.24	0.31	0.95	0.12	0.18	0.69	0.39	0.47
YAL018C	-0.01	-0.15	0.15	0.04	-0.34	-0.06	0.03	-0.04
YAL019W	-0.22	-0.12	-0.92	-0.67	0.12	-0.17	-0.54	-0.34
YAL020C	-0.04	-0.29	0.48	0.32	0.14	0.53	0.46	0.16
YAL021C	-0.3	0.22	0.02	-0.64	0.06	-0.04	-0.19	-0.32
YAL022C	-0.15	-0.25	0.18	0.06	-0.15	-0.17	-0.04	-0.1
YAL023C	-0.32	-0.58	-0.45	-0.97	0.07	0.16	0	-0.16
YAL024C	0.11	-0.6	0.1	0.48	-0.32	-0.62	-0.09	-0.09
YAL025C	-1.89	-2.18	-3.47	-3.64	-1.18	-1.56	-0.76	-0.34
YAL026C	-0.45	-0.58	-0.23	0.23	-0.29	0.42	-0.1	
