YMR056C	AAC1
YBR085W	AAC3
YJR155W	AAD10
YNL331C	AAD14
YOL165C	AAD15
YFL057C	AAD16
YCR107W	AAD3
YDL243C	AAD4
YFL056C	AAD6
YNL141W	AAH1
YHR047C	AAP1
YBL074C	AAR2
YKL106W	AAT1
YLR027C	AAT2
YGL119W	ABC1
YBR236C	ABD1
YKL112W	ABF1
YMR072W	ABF2
YJR108W	ABM1
YCR088W	ABP1
YOR239W	ABP140
YNR033W	ABZ1
YMR289W	ABZ2
YER045C	ACA1
YGR037C	ACB1
YNR016C	ACC1
YLR131C	ACE2
YLR144C	ACF2
YJR083C	ACF4
YBL015W	ACH1
YDL203C	ACK1
YPL267W	ACM1
YDR511W	ACN9
YLR304C	ACO1
YJL200C	ACO2
YKL192C	ACP1
YAL054C	ACS1
YLR153C	ACS2
YFL039C	ACT1
YDR448W	ADA2
YMR184W	ADD37
YKL206C	ADD66
YAR015W	ADE1
YNL220W	ADE12
YLR359W	ADE13
YLR028C	ADE16
YMR120C	ADE17
YOR128C	ADE2
YGR204W	ADE3
YMR300C	ADE4
YGL234W	ADE5,7
YGR061C	ADE6
YDR408C	ADE8
YOL086C	ADH1
YMR303C	ADH2
YMR083W	ADH3
YGL256W	ADH4
YBR145W	ADH5
YMR318C	ADH6
YCR105W	ADH7
YMR009W	ADI1
YDR226W	ADK1
YER170W	ADK2
YJR105W	ADO1
YCR011C	ADP1
YDR216W	ADR1
YCR010C	ADY2
YDL239C	ADY3
YLR227C	ADY4
YMR064W	AEP1
YMR282C	AEP2
YPL005W	AEP3
YEL052W	AFG1
YLR397C	AFG2
YER017C	AFG3
YOR129C	AFI1
YDR085C	AFR1
YGL071W	AFT1
YPL202C	AFT2
YNR044W	AGA1
YGL032C	AGA2
YPR021C	AGC1
YDR524C	AGE1
YIL044C	AGE2
YCL025C	AGP1
YBR132C	AGP2
YFL055W	AGP3
YFL030W	AGX1
YDR214W	AHA1
YOR023C	AHC1
YCR082W	AHC2
YLR109W	AHP1
YHR093W	AHT1
Q0050	AI1
Q0055	AI2
Q0060	AI3
Q0065	AI4
Q0070	AI5_ALPHA
Q0075	AI5_BETA
YNR074C	AIF1
YAL046C	AIM1
YER087W	AIM10
YER093C-A	AIM11
YFR011C	AIM13
YGL160W	AIM14
YHL021C	AIM17
YHR198C	AIM18
YAL049C	AIM2
YIL158W	AIM20
YIR003W	AIM21
YJL046W	AIM22
YJL131C	AIM23
YJR080C	AIM24
YJR100C	AIM25
YKL037W	AIM26
YKR016W	AIM28
YKR074W	AIM29
YBR108W	AIM3
YLR168C	AIM30
YML030W	AIM31
YML050W	AIM32
YML087C	AIM33
YMR003W	AIM34
YMR157C	AIM36
